date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-05-19 13:05:50,45,-0.332,0.079,-0.507,-0.249,0.107,0.100,-0.004,-0.003,-0.398,-0.917,0.508,0.862,ETH,0
2021-05-19 13:06:15,45,0.026,-0.032,-0.010,-0.003,0.002,-0.057,-0.003,-0.002,-0.398,-0.917,0.596,0.803,ETH,0
2021-05-19 13:06:40,45,-0.010,-0.012,0.032,0.027,0.028,-0.157,-0.003,-0.002,-0.398,-0.917,0.596,0.803,ETH,0
2021-05-19 13:09:10,46,0.138,0.087,0.045,0.035,0.103,0.171,-0.010,-0.010,-0.398,-0.917,0.818,0.575,ETH,0
2021-05-19 13:09:35,46,0.028,0.068,-0.063,-0.069,0.020,0.158,-0.011,-0.009,-0.398,-0.917,0.818,0.575,ETH,0
2021-05-19 13:10:00,46,0.072,0.066,0.077,0.016,0.032,0.158,-0.011,-0.010,-0.398,-0.917,0.875,0.485,ETH,0
2021-05-19 13:10:00,47,-0.029,0.094,-0.097,-0.026,0.051,0.156,-0.012,-0.010,-0.398,-0.917,0.875,0.485,ETH,0
2021-05-19 13:10:25,47,-0.098,0.061,-0.067,-0.087,0.049,0.030,-0.012,-0.009,-0.398,-0.917,0.875,0.485,ETH,0
2021-05-19 13:10:50,47,-0.077,0.053,0.052,0.037,0.033,-0.100,-0.008,-0.005,-0.398,-0.917,0.875,0.485,ETH,0
2021-05-19 13:12:05,48,-0.714,0.045,-0.398,-0.129,0.018,0.033,0.001,0.001,-0.398,-0.917,0.957,0.289,ETH,0
2021-05-19 13:12:30,48,-0.003,0.002,-0.082,0.019,-0.039,0.048,0.002,-0.003,-0.398,-0.917,0.957,0.289,ETH,0
2021-05-19 13:12:55,48,-0.181,0.007,-0.232,0.050,-0.027,0.025,0.003,0.004,-0.398,-0.917,0.957,0.289,ETH,0
2021-05-19 13:12:55,49,-0.809,0.065,-0.729,-0.209,0.041,0.024,0.004,0.005,-0.398,-0.917,0.957,0.289,ETH,0
2021-05-19 13:13:20,49,0.374,-0.014,0.093,-0.138,-0.030,-0.004,0.004,0.004,-0.398,-0.917,0.983,0.185,ETH,0
2021-05-19 13:13:45,49,2.255,0.053,0.631,0.045,-0.008,-0.040,0.007,0.005,-0.398,-0.917,0.983,0.185,ETH,0
2021-05-19 13:19:10,50,0.963,0.025,0.231,0.005,0.023,0.112,0.010,0.009,-0.398,-0.917,0.899,-0.437,ETH,0
2021-05-19 13:19:35,50,0.003,0.000,0.033,0.064,0.027,0.072,0.011,0.011,-0.398,-0.917,0.899,-0.437,ETH,0
